G1 X: 0, Y: 0, Z: 15.0, E: 3
G1 X: 186, Y: 198.096, Z: 0.25, E: 0.63254
G1 X: 186, Y: 157.904, Z: 0.25, E: 0.64514
G1 X: 187, Y: 157.904, Z: 0.25, E: 0.64545
G1 X: 187, Y: 198.096, Z: 0.25, E: 0.65805
G1 X: 188, Y: 198.096, Z: 0.25, E: 0.65836
G1 X: 188, Y: 157.904, Z: 0.25, E: 0.67097
G1 X: 189, Y: 157.904, Z: 0.25, E: 0.67128
G1 X: 189, Y: 198.096, Z: 0.25, E: 0.68388
G1 X: 190, Y: 198.096, Z: 0.25, E: 0.68419
G1 X: 190, Y: 157.904, Z: 0.25, E: 0.69679
G1 X: 191, Y: 157.904, Z: 0.25, E: 0.69711
G1 X: 191, Y: 198.096, Z: 0.25, E: 0.70971
G1 X: 192, Y: 198.096, Z: 0.25, E: 0.71002
G1 X: 192, Y: 157.904, Z: 0.25, E: 0.72262
G1 X: 193, Y: 157.904, Z: 0.25, E: 0.72293
G1 X: 193, Y: 198.096, Z: 0.25, E: 0.73554
G1 X: 194, Y: 198.096, Z: 0.25, E: 0.73585
G1 X: 194, Y: 157.904, Z: 0.25, E: 0.74845
G1 X: 195, Y: 157.904, Z: 0.25, E: 0.74876
G1 X: 195, Y: 198.096, Z: 0.25, E: 0.76136
G1 X: 196, Y: 198.096, Z: 0.25, E: 0.76168
G1 X: 196, Y: 157.904, Z: 0.25, E: 0.77428
G1 X: 197, Y: 157.904, Z: 0.25, E: 0.77459
G1 X: 197, Y: 198.096, Z: 0.25, E: 0.78719
G1 X: 198, Y: 198.096, Z: 0.25, E: 0.78751
G1 X: 198, Y: 157.904, Z: 0.25, E: 0.80011
G1 X: 199, Y: 157.904, Z: 0.25, E: 0.80042
G1 X: 199, Y: 198.096, Z: 0.25, E: 0.81302
G1 X: 200, Y: 198.096, Z: 0.25, E: 0.81333
G1 X: 200, Y: 157.904, Z: 0.25, E: 0.82593
G1 X: 201, Y: 157.904, Z: 0.25, E: 0.82625
G1 X: 201, Y: 198.096, Z: 0.25, E: 0.83885
G1 X: 202, Y: 198.096, Z: 0.25, E: 0.83916
G1 X: 202, Y: 157.904, Z: 0.25, E: 0.85176
G1 X: 203, Y: 157.904, Z: 0.25, E: 0.85208
G1 X: 203, Y: 198.096, Z: 0.25, E: 0.86468
G1 X: 204, Y: 198.096, Z: 0.25, E: 0.86499
G1 X: 204, Y: 157.904, Z: 0.25, E: 0.87759
G1 X: 205, Y: 157.904, Z: 0.25, E: 0.8779
G1 X: 205, Y: 198.096, Z: 0.25, E: 0.8905
G1 X: 206, Y: 198.096, Z: 0.25, E: 0.89082
G1 X: 206, Y: 157.904, Z: 0.25, E: 0.90342
G1 X: 207, Y: 157.904, Z: 0.25, E: 0.90373
G1 X: 207, Y: 198.096, Z: 0.25, E: 0.91633
G1 X: 208, Y: 198.096, Z: 0.25, E: 0.91665
G1 X: 208, Y: 157.904, Z: 0.25, E: 0.92925
G1 X: 209, Y: 157.904, Z: 0.25, E: 0.92956
G1 X: 209, Y: 198.096, Z: 0.25, E: 0.94216
G1 X: 210, Y: 198.096, Z: 0.25, E: 0.94247
G1 X: 210, Y: 157.904, Z: 0.25, E: 0.95507
G1 X: 211, Y: 157.904, Z: 0.25, E: 0.95539
G1 X: 211, Y: 198.096, Z: 0.25, E: 0.96799
G1 X: 212, Y: 198.096, Z: 0.25, E: 0.9683
G1 X: 212, Y: 157.904, Z: 0.25, E: 0.9809
G1 X: 213, Y: 157.904, Z: 0.25, E: 0.98122
G1 X: 213, Y: 198.096, Z: 0.25, E: 0.99382
G1 X: 214, Y: 198.096, Z: 0.25, E: 0.99413
G1 X: 214, Y: 157.904, Z: 0.25, E: 1.00673
G1 X: 215, Y: 157.904, Z: 0.25, E: 1.00704
G1 X: 215, Y: 198.096, Z: 0.25, E: 1.01965
G1 X: 216, Y: 198.096, Z: 0.25, E: 1.01996
